player_id,player_name,position,mean,std,p10,p25,p50,p75,p90,risk_adjusted_0.5,risk_adjusted_1.0,p_positive,realized_career_vorp,anchor_season,inside_50,inside_80
00-0028042,L.Stocker,TE,0.0035936012008086163,0.11358281393266291,0.0,0.0,0.0,0.0,0.0,-0.056791406966331455,-0.11358281393266291,0.001,0.0,2017,true,true
00-0028063,T.Jones,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0028064,B.Powell,RB,74.65006986363274,92.72759017611607,0.0,0.0,2.068371101772396,163.29122527739167,219.74888631048395,-44.29542398628564,-90.65921907434367,0.506,0.0,2017,true,true
00-0028067,J.Thomas,TE,61.15569308623351,100.21009076467563,0.0,0.0,0.0,103.60762304017022,241.03235544533112,-50.10504538233781,-100.21009076467563,0.406,0.0,2017,true,true
00-0028083,J.Rodgers,RB,20.245805093370404,51.04563221131909,0.0,0.0,0.0,0.0,88.03621313427868,-25.522816105659544,-51.04563221131909,0.215,0.0,2017,true,true
00-0028087,D.Lewis,RB,101.22902438394854,114.22499765952973,0.0,0.0,60.86935870770506,194.38190213756542,285.1568342184002,3.756859877940194,-53.35563895182467,0.596,36.782608695652165,2017,true,true
00-0028090,T.Yates,QB,39.16601634013624,106.55723941220434,0.0,0.0,0.0,0.0,178.3936798106634,-53.27861970610217,-106.55723941220434,0.176,0.0,2017,true,true
00-0028091,J.Kerley,WR,11.228432487788222,34.09546696743829,0.0,0.0,0.0,0.0,35.64041993470551,-17.047733483719146,-34.09546696743829,0.16,0.0,2017,true,true
00-0028093,N.Paul,TE,3.450361311272332,13.34606351585541,0.0,0.0,0.0,0.0,0.9235972094029516,-6.673031757927705,-13.34606351585541,0.105,0.0,2017,true,true
00-0028097,L.Smith,TE,0.03082065375466619,0.41791261682077424,0.0,0.0,0.0,0.0,0.0,-0.20895630841038712,-0.41791261682077424,0.01,0.0,2017,true,true
00-0028112,C.Clay,TE,90.39072296670876,94.00089581319695,0.0,0.0,70.40817736722198,182.79619303028971,222.5290750268413,23.407729460623507,-23.592718445974967,0.567,0.0,2017,true,true
00-0028114,D.Harris,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
